,category,customer_type,unit_price,quantity,total,payment_type,lvl_estoque_past,lvl_estoque_to_predict,mean,median,min,max,std,var,day_of_week,is_weekend,hour,turn
0,fruit,gold,3.99,2,7.98,e-wallet,0.37,0.48,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
1,fruit,premium,3.99,3,11.97,credit card,0.37,0.48,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
2,fruit,premium,1.49,4,5.96,e-wallet,0.54,0.33,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
3,fruit,non-member,3.99,3,11.97,cash,0.51,0.04,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
4,fruit,premium,4.49,2,8.98,credit card,0.71,0.98,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
5,fruit,gold,4.49,4,17.96,cash,0.71,0.98,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
6,fruit,gold,3.99,3,11.97,e-wallet,0.17,0.59,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
7,fruit,premium,1.49,1,1.49,credit card,0.54,0.33,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
8,fruit,basic,0.19,3,0.5700000000000001,credit card,0.47,0.92,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
9,fruit,non-member,4.49,4,17.96,credit card,0.71,0.98,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
10,fruit,premium,3.99,4,15.96,credit card,0.17,0.59,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
11,fruit,non-member,0.19,2,0.38,cash,0.47,0.92,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
12,fruit,standard,1.49,3,4.47,cash,0.54,0.33,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
13,fruit,premium,3.99,1,3.99,debit card,0.51,0.04,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
14,vegetables,premium,1.49,4,5.96,cash,0.23,0.81,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
15,vegetables,non-member,1.49,3,4.47,credit card,0.23,0.81,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
16,vegetables,gold,4.19,2,8.38,e-wallet,0.35,0.75,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
17,vegetables,premium,1.49,4,5.96,credit card,0.4,0.83,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
18,vegetables,premium,4.49,3,13.47,e-wallet,0.73,0.88,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
19,vegetables,gold,1.49,1,1.49,e-wallet,0.55,0.46,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
20,vegetables,premium,1.19,4,4.76,cash,0.25,0.38,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
21,refrigerated items,basic,6.49,4,25.96,e-wallet,0.86,0.61,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
22,refrigerated items,basic,6.49,4,25.96,e-wallet,0.86,0.61,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
23,refrigerated items,non-member,10.99,4,43.96,cash,0.42,0.78,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
24,refrigerated items,basic,5.99,3,17.97,e-wallet,0.15,0.3,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
25,refrigerated items,gold,5.99,1,5.99,credit card,0.54,0.52,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
26,refrigerated items,non-member,4.49,3,13.47,cash,0.39,0.7,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
27,refrigerated items,basic,8.99,3,26.97,credit card,0.37,0.41,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
28,frozen,non-member,11.19,2,22.38,debit card,0.83,0.25,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
29,frozen,basic,7.49,4,29.96,e-wallet,0.17,0.48,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
30,frozen,standard,4.99,3,14.97,debit card,0.44,0.57,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
31,frozen,premium,11.99,2,23.98,cash,0.89,0.49,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
32,frozen,gold,12.49,1,12.49,cash,0.93,0.59,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
33,frozen,standard,11.49,2,22.98,credit card,0.51,1.0,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
34,spices and herbs,standard,4.19,1,4.19,debit card,0.5,0.3,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
35,canned foods,gold,2.49,1,2.49,e-wallet,0.33,0.69,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
36,canned foods,standard,7.49,3,22.47,e-wallet,0.9,0.2,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
37,canned foods,basic,7.49,4,29.96,credit card,0.7,0.94,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
38,canned foods,standard,8.99,1,8.99,credit card,0.05,0.16,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
39,canned foods,premium,7.49,4,29.96,cash,0.7,0.94,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
40,canned foods,gold,2.49,3,7.470000000000001,e-wallet,0.52,0.34,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
41,canned foods,gold,2.49,1,2.49,e-wallet,0.33,0.69,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
42,packaged foods,premium,7.19,1,7.19,credit card,0.21,0.6,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
43,packaged foods,basic,2.99,2,5.98,cash,0.62,0.7,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
44,packaged foods,standard,3.49,3,10.47,e-wallet,0.12,0.19,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
45,packaged foods,non-member,2.49,2,4.98,cash,0.27,0.49,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
46,packaged foods,standard,2.99,3,8.97,credit card,0.62,0.7,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
47,packaged foods,standard,3.49,3,10.47,cash,0.12,0.19,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
48,packaged foods,basic,8.49,1,8.49,credit card,0.38,0.46,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
49,packaged foods,non-member,5.49,3,16.47,cash,0.38,0.11,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
50,condiments and sauces,basic,8.49,4,33.96,cash,0.99,0.73,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
51,condiments and sauces,basic,5.19,3,15.57,e-wallet,0.65,0.99,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
52,condiments and sauces,basic,4.19,2,8.38,debit card,0.8,0.45,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
