,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.mae_std,metrics.rmse_mean,metrics.mae_mean,metrics.rmse_std,tags.mlflow.user,tags.mlflow.source.name,tags.modelo,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.git.commit,tempo
47,c050d6b9252748438c52233157f9e21f,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/c050d6b9252748438c52233157f9e21f/artifacts,2023-04-14 18:30:54.159000+00:00,2023-04-14 18:30:54.902000+00:00,-0.0031073197466396797,0.28764802758243513,0.24817533594783908,-0.002590556260913395,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_OHE,LOCAL,able-foal-650,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:00.743000
37,6769fbfe3aa14c4f9e4019a07f75cd2c,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/6769fbfe3aa14c4f9e4019a07f75cd2c/artifacts,2023-04-14 18:31:14.455000+00:00,2023-04-14 18:31:16.761000+00:00,-0.003107376736186699,0.28764793806717975,0.2481754074867958,-0.002590679158646898,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_RS_OHE,LOCAL,youthful-shad-418,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:02.306000
17,07551283c24d401c8f23d5665796c486,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/07551283c24d401c8f23d5665796c486/artifacts,2023-04-14 18:37:21.216000+00:00,2023-04-14 18:37:34.434000+00:00,-0.003107376736186699,0.28764793806717975,0.2481754074867958,-0.002590679158646898,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_RS_OHE_IF,LOCAL,brawny-stork-790,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:13.218000
49,0b19907dc9f840ccbcbf00bbb30a5503,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/0b19907dc9f840ccbcbf00bbb30a5503/artifacts,2023-04-14 18:30:52.068000+00:00,2023-04-14 18:30:53.294000+00:00,-0.003090156108597283,0.28767183995929646,0.24818078717109096,-0.0025619127527019237,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Linear_SC_OHE,LOCAL,bittersweet-rat-823,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:01.226000
39,df4566f0a4124ad38d094822e5dfc5f2,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/df4566f0a4124ad38d094822e5dfc5f2/artifacts,2023-04-14 18:31:08.740000+00:00,2023-04-14 18:31:11.937000+00:00,-0.003090156108597283,0.28767183995929646,0.24818078717109096,-0.0025619127527019237,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Linear_SC_RS_OHE,LOCAL,treasured-carp-182,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:03.197000
19,f3546af01fa44bd1aaac7cc6167b40ab,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/f3546af01fa44bd1aaac7cc6167b40ab/artifacts,2023-04-14 18:36:44.776000+00:00,2023-04-14 18:37:08.074000+00:00,-0.003090156108597283,0.28767183995929646,0.24818078717109096,-0.0025619127527019237,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Linear_SC_RS_OHE_IF,LOCAL,vaunted-rat-313,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:23.298000
42,741e5577ad564eedb4e27d0d9c6ff8c1,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/741e5577ad564eedb4e27d0d9c6ff8c1/artifacts,2023-04-14 18:31:00.299000+00:00,2023-04-14 18:31:02.759000+00:00,-0.003139934611521302,0.2875945293690406,0.24820982858283064,-0.002624138180751743,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_OHE_OE,LOCAL,stately-wasp-197,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:02.460000
22,69a5e75d899d4d38bafa61ef3307e1fc,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/69a5e75d899d4d38bafa61ef3307e1fc/artifacts,2023-04-14 18:35:48.404000+00:00,2023-04-14 18:36:19.436000+00:00,-0.003139934611521302,0.2875945293690406,0.24820982858283064,-0.002624138180751743,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_OHE_OE_IF,LOCAL,victorious-swan-981,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:31.032000
32,34da29ccd41e450bb55bf47f0ce91ca9,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/34da29ccd41e450bb55bf47f0ce91ca9/artifacts,2023-04-14 18:31:28.978000+00:00,2023-04-14 18:31:32.154000+00:00,-0.0031400561942660997,0.28759444185990835,0.2482098560480114,-0.0026242614415628446,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_RS_OHE_OE,LOCAL,loud-whale-663,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:03.176000
12,03bf7a7948bf4c6697a8065a21d6309a,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/03bf7a7948bf4c6697a8065a21d6309a/artifacts,2023-04-14 18:38:30.847000+00:00,2023-04-14 18:38:42.924000+00:00,-0.0031400561942660997,0.28759444185990835,0.2482098560480114,-0.0026242614415628446,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_RS_OHE_OE_IF,LOCAL,gentle-ray-844,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:12.077000
27,d120d4660d024f519a8db8fe1c071047,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/d120d4660d024f519a8db8fe1c071047/artifacts,2023-04-14 18:32:51.414000+00:00,2023-04-14 18:33:26.433000+00:00,-0.0030988475499321836,0.28765984105862835,0.24821654329451065,-0.0026185064095366173,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Ridge_SC_OHE_IF,LOCAL,abundant-moth-690,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:35.019000
34,b436912623df48a2ba028b57e3e14cc1,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/b436912623df48a2ba028b57e3e14cc1/artifacts,2023-04-14 18:31:22.420000+00:00,2023-04-14 18:31:25.799000+00:00,-0.0031235191913890235,0.2876168830043362,0.24821697371883916,-0.0025970573158403793,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Linear_SC_RS_OHE_OE,LOCAL,placid-crab-966,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:03.379000
14,8699d76aae914c5193ee3080a45e5ee1,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/8699d76aae914c5193ee3080a45e5ee1/artifacts,2023-04-14 18:38:05.301000+00:00,2023-04-14 18:38:18.724000+00:00,-0.0031235191913890235,0.2876168830043362,0.24821697371883916,-0.0025970573158403793,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Linear_SC_RS_OHE_OE_IF,LOCAL,judicious-crab-65,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:13.423000
44,191a2abddb5f4958a982d1fc4f9c1904,391475686954779658,FINISHED,file:///c:/Users/Daniel/OneDrive/Documentos/stock_level_prediction/notebooks/../mlruns/391475686954779658/191a2abddb5f4958a982d1fc4f9c1904/artifacts,2023-04-14 18:30:56.692000+00:00,2023-04-14 18:30:57.928000+00:00,-0.003123354560598498,0.2876170753929019,0.24821706602279758,-0.002596765086718648,Daniel,c:\Users\Daniel\OneDrive\Documentos\stock_level_prediction\venv\lib\site-packages\ipykernel_launcher.py,Reg_Linear_SC_OHE_OE,LOCAL,clumsy-loon-357,d7b0e076d9c82f1faa4e31728e68be5e8d6274d4,0 days 00:00:01.236000
