,category,customer_type,unit_price,quantity,total,payment_type,lvl_estoque_past,mean,median,min,max,std,var,day_of_week,is_weekend,hour,turn,predicao
0,fruit,gold,3.99,2,7.98,e-wallet,0.37,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5268771488213522
1,fruit,premium,3.99,3,11.97,credit card,0.37,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5158727465511121
2,fruit,premium,1.49,4,5.96,e-wallet,0.54,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5272271160206791
3,fruit,non-member,3.99,3,11.97,cash,0.51,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5175090864234203
4,fruit,premium,4.49,2,8.98,credit card,0.71,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.516953943412468
5,fruit,gold,4.49,4,17.96,cash,0.71,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.525372813020101
6,fruit,gold,3.99,3,11.97,e-wallet,0.17,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5258924511725379
7,fruit,premium,1.49,1,1.49,credit card,0.54,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5193663920852908
8,fruit,basic,0.19,3,0.5700000000000001,credit card,0.47,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5139957587032143
9,fruit,non-member,4.49,4,17.96,credit card,0.71,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5103743552068496
10,fruit,premium,3.99,4,15.96,credit card,0.17,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5148880489022978
11,fruit,non-member,0.19,2,0.38,cash,0.47,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.520850121197592
12,fruit,standard,1.49,3,4.47,cash,0.54,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5204162666768896
13,fruit,premium,3.99,1,3.99,debit card,0.51,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5260638813633638
14,vegetables,premium,1.49,4,5.96,cash,0.23,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5270068301085453
15,vegetables,non-member,1.49,3,4.47,credit card,0.23,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5139589626053773
16,vegetables,gold,4.19,2,8.38,e-wallet,0.35,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5295518900496103
17,vegetables,premium,1.49,4,5.96,credit card,0.4,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5203250668325565
18,vegetables,premium,4.49,3,13.47,e-wallet,0.73,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5290623822706993
19,vegetables,gold,1.49,1,1.49,e-wallet,0.55,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5330946449322791
20,vegetables,premium,1.19,4,4.76,cash,0.25,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5272802407304824
21,refrigerated items,basic,6.49,4,25.96,e-wallet,0.86,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.518903550514026
22,refrigerated items,basic,6.49,4,25.96,e-wallet,0.86,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.518903550514026
23,refrigerated items,non-member,10.99,4,43.96,cash,0.42,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5112273373664572
24,refrigerated items,basic,5.99,3,17.97,e-wallet,0.15,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5166112206060215
25,refrigerated items,gold,5.99,1,5.99,credit card,0.54,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5154620224208096
26,refrigerated items,non-member,4.49,3,13.47,cash,0.39,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5155997683293211
27,refrigerated items,basic,8.99,3,26.97,credit card,0.37,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5058604861488776
28,frozen,non-member,11.19,2,22.38,debit card,0.83,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5152092223320054
29,frozen,basic,7.49,4,29.96,e-wallet,0.17,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5172924513192734
30,frozen,standard,4.99,3,14.97,debit card,0.44,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5198195040296902
31,frozen,premium,11.99,2,23.98,cash,0.89,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5190790499651252
32,frozen,gold,12.49,1,12.49,cash,0.93,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5196758136409737
33,frozen,standard,11.49,2,22.98,credit card,0.51,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5054524131566833
34,spices and herbs,standard,4.19,1,4.19,debit card,0.5,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5227961164804944
35,canned foods,gold,2.49,1,2.49,e-wallet,0.33,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5288696628133458
36,canned foods,standard,7.49,3,22.47,e-wallet,0.9,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5196659838190554
37,canned foods,basic,7.49,4,29.96,credit card,0.7,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.509899515605626
38,canned foods,standard,8.99,1,8.99,credit card,0.05,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5055337512157534
39,canned foods,premium,7.49,4,29.96,cash,0.7,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5223554499759209
40,canned foods,gold,2.49,3,7.470000000000001,e-wallet,0.52,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.528819295423036
41,canned foods,gold,2.49,1,2.49,e-wallet,0.33,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5288696628133458
42,packaged foods,premium,7.19,1,7.19,credit card,0.21,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5167667403641734
43,packaged foods,basic,2.99,2,5.98,cash,0.62,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5241636793849878
44,packaged foods,standard,3.49,3,10.47,e-wallet,0.12,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5233814668557342
45,packaged foods,non-member,2.49,2,4.98,cash,0.27,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5222086530001293
